crawl_date,property_name,property_id,competitor_name,is_own,channel,course_name,play_date,day_of_week,time_of_day,fee_min_krw,fee_avg_krw,fee_max_krw,fee_min_usd,fee_avg_usd,fee_max_usd
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,레오팔레스 리조트 CC,False,AGL,레오팔레스 리조트 CC,2026-04-18,주말,최저가,203300,203300,203300,138.33,138.33,138.33
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,자사,True,AGL,망길라오 골프 클럽,2026-04-18,주말,최저가,291600,291600,291600,198.42,198.42,198.42
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,자사,True,KKday,망길라오 골프 클럽,2026-04-18,주말,최저가,301113,301113,301113,204.89,204.89,204.89
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,CCP (컨트리 클럽 오브 더 퍼시픽),False,몽키트래블,CCP (컨트리 클럽 오브 더 퍼시픽),2026-04-19,주말,오전,167269,167269,167269,113.82,113.82,113.82
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,CCP (컨트리 클럽 오브 더 퍼시픽),False,몽키트래블,CCP (컨트리 클럽 오브 더 퍼시픽),2026-04-19,주말,오후,167269,167269,167269,113.82,113.82,113.82
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,레오팔레스 리조트 CC,False,몽키트래블,레오팔레스 리조트 CC,2026-04-19,주말,오전,171750,171750,171750,116.87,116.87,116.87
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,레오팔레스 리조트 CC,False,몽키트래블,레오팔레스 리조트 CC,2026-04-19,주말,오후,171750,171750,171750,116.87,116.87,116.87
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,자사,True,몽키트래블,망길라오 골프 클럽,2026-04-19,주말,오전,276293,276293,276293,188.0,188.0,188.0
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,자사,True,몽키트래블,망길라오 골프 클럽,2026-04-19,주말,오후,276293,276293,276293,188.0,188.0,188.0
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,CCP (컨트리 클럽 오브 더 퍼시픽),False,몽키트래블,CCP (컨트리 클럽 오브 더 퍼시픽),2026-04-20,주중,오전,167269,167269,167269,113.82,113.82,113.82
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,CCP (컨트리 클럽 오브 더 퍼시픽),False,몽키트래블,CCP (컨트리 클럽 오브 더 퍼시픽),2026-04-20,주중,오후,167269,167269,167269,113.82,113.82,113.82
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,레오팔레스 리조트 CC,False,몽키트래블,레오팔레스 리조트 CC,2026-04-20,주중,오전,171750,171750,171750,116.87,116.87,116.87
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,레오팔레스 리조트 CC,False,몽키트래블,레오팔레스 리조트 CC,2026-04-20,주중,오후,171750,171750,171750,116.87,116.87,116.87
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,자사,True,몽키트래블,망길라오 골프 클럽,2026-04-20,주중,오전,276293,276293,276293,188.0,188.0,188.0
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,자사,True,몽키트래블,망길라오 골프 클럽,2026-04-20,주중,오후,276293,276293,276293,188.0,188.0,188.0
2026-04-18,소노펠리체CC 괌 망길라오,golf_guam_mangilao,CCP (컨트리 클럽 오브 더 퍼시픽),False,몽키트래블,CCP (컨트리 클럽 오브 더 퍼시픽),2026-04-21,주중,오전,167269,167269,167269,113.82,113.82,113.82
